"","Year","Area","Street.2"
"793",2011,"Unknown","Bliss Nightclub, Broad St, Birmingham"
"794",2011,"Unknown","Bliss Nightclub, Broad St."
"795",2011,"Unknown","Bliss, Broad St."
"797",2011,"Unknown","Bordesley Green Rd"
"798",2011,"Unknown","Bradford St, Birmingham"
"799",2011,"Unknown","Braod Street, City Centre"
"805",2011,"Unknown","Briar Rose Ph Bennetts Hill"
"806",2011,"Unknown","Brighton Arms Ph"
"807",2011,"Unknown","Bristol Road, Birmingham"
"808",2011,"Unknown","Bristol Road, Edgbaston"
"809",2011,"Unknown","Bristol St, Birmingham City Centre"
"812",2011,"Unknown","Bristol Street South"
"814",2011,"Unknown","Brittania Hotel"
"815",2011,"Unknown","Broad St"
"825",2011,"Unknown","Broad St @ Gas Street, City Centre"
"826",2011,"Unknown","Broad St Bham"
"828",2011,"Unknown","Broad St City Centre"
"829",2011,"Unknown","Broad St City Centre Birmingham"
"830",2011,"Unknown","Broad St,    Bham"
"831",2011,"Unknown","Broad St,  Bham"
"836",2011,"Unknown","Broad St, Bham"
"838",2011,"Unknown","Broad St, Birmingham"
"922",2011,"Unknown","Broad Street , City Centre"
"926",2011,"Unknown","Broad Street Opposite Walkabout"
"927",2011,"Unknown","Broad Street Outside Roccocco"
"928",2011,"Unknown","Broad Street, B'ham"
"930",2011,"Unknown","Broad Street, Birmingham"
"957",2011,"Unknown","Broad Street, Birmingham."
"968",2011,"Unknown","Broad Street, City Centre,"
"969",2011,"Unknown","Broad Street, City Centre, Birmingham"
"973",2011,"Unknown","Broad Street, City Centre."
"975",2011,"Unknown","Broad Street,City Centre"
"978",2011,"Unknown","Broad Street."
"979",2011,"Unknown","Broad Street. Birmingham"
"980",2011,"Unknown","Broad Strret"
"981",2011,"Unknown","Broadway Plaza, Ladywood Middleway"
"982",2011,"Unknown","Bromsgrove Street, Birmingham"
"983",2011,"Unknown","Brookvale Rd Witton"
"984",2011,"Unknown","Bull Ring"
"986",2011,"Unknown","Bullring, City Centre."
"987",2011,"Unknown","Burford Road, Kingstanding"
"988",2011,"Unknown","Calshott Road, Great Barr"
"989",2011,"Unknown","Camborne Close."
"990",2011,"Unknown","Canal Side, Soho Loop, Handsworth"
"991",2011,"Unknown","Car Park, Avfc"
"992",2011,"Unknown","Carrs Lane"
"993",2011,"Unknown","Chiswell Road"
"994",2011,"Unknown","Church Vale Road"
"995",2011,"Unknown","City Hospita,Dudley Road"
"996",2011,"Unknown","City Hospital"
"1003",2011,"Unknown","City Hospital Dudley Road"
"1004",2011,"Unknown","City Hospital, Birmingham"
"1006",2011,"Unknown","City Road, Birmingham"
"1007",2011,"Unknown","City Tavern"
"1008",2011,"Unknown","City Tavern Bishopsgate Stm"
"1009",2011,"Unknown","Claythorn Avenue"
"1010",2011,"Unknown","College Road"
"1011",2011,"Unknown","Colmore Row"
"1013",2011,"Unknown","Colmore Row, Birmingham"
"1014",2011,"Unknown","Colmore Row, Birmingham."
"1015",2011,"Unknown","Constitution Hill, Birmingham"
"1016",2011,"Unknown","Corparation Street, Birmingham"
"1017",2011,"Unknown","Corporation St"
"1022",2011,"Unknown","Corporation Street, Birmingham"
"1025",2011,"Unknown","Corporation Street, City Centre"
"1028",2011,"Unknown","Corporation Street, City Centre,"
"1029",2011,"Unknown","Corporation Street."
"1030",2011,"Unknown","Coventry Entrance Bcfc"
"1032",2011,"Unknown","Coventry Road, Birmingham City Fc"
"1033",2011,"Unknown","Dale End"
"1037",2011,"Unknown","Dale End Birmingham"
"1038",2011,"Unknown","Dale End City Centre"
"1039",2011,"Unknown","Dale End, Birmingham"
"1042",2011,"Unknown","Ddora Road,  Handsworth"
"1043",2011,"Unknown","Digbeth"
"1044",2011,"Unknown","Digbeth Coad Station"
"1047",2011,"Unknown","Digbeth High Street, City Centre"
"1048",2011,"Unknown","Dudley Road"
"1049",2011,"Unknown","Edgbaston St."
"1050",2011,"Unknown","Edgbaston Street"
"1051",2011,"Unknown","Edmund Street"
"1052",2011,"Unknown","Ernest Street City Centre Birmingham"
"1053",2011,"Unknown","Essex St"
"1054",2011,"Unknown","Essex Street (Aston)"
"1055",2011,"Unknown","Essex Street, Birmingham"
"1056",2011,"Unknown","Essex Street, City Centre"
"1057",2011,"Unknown","Etap Hotel Foyer, Birmingham"
"1058",2011,"Unknown","Eva Road"
"1059",2011,"Unknown","Faisley Street City Centre"
"1060",2011,"Unknown","Five Ways, Birmingham"
"1061",2011,"Unknown","Flood Gate Street Birmingham"
"1062",2011,"Unknown","Formula One Hotel"
"1063",2011,"Unknown","Fox Hollies Road"
"1064",2011,"Unknown","Gas Street"
"1069",2011,"Unknown","Gas Street,City Centre"
"1070",2011,"Unknown","Gatecrasher,Broad Street"
"1071",2011,"Unknown","Gatescrasher, Bishopsgate, Birmingham"
"1072",2011,"Unknown","Golden Hind Ph"
"1073",2011,"Unknown","Golden Hind Pub Kingstanding Road"
"1074",2011,"Unknown","Gooch St North"
"1075",2011,"Unknown","Grange Road"
"1076",2011,"Unknown","Grangers Lane Cradley Heath"
"1077",2011,"Unknown","Great Charles Street, City Centre"
"1078",2011,"Unknown","Grosvenor Casino, Birmingham"
"1079",2011,"Unknown","Grotersley Street"
"1081",2011,"Unknown","Hall Rd"
"1082",2011,"Unknown","Hall Street"
"1083",2011,"Unknown","Hamstead Road, Handsworth"
"1084",2011,"Unknown","Handsworth Park"
"1085",2011,"Unknown","Handsworth Police Station"
"1086",2011,"Unknown","Hawthorn Road, Kingstanding, Birmingham"
"1087",2011,"Unknown","Heath Mill Lane"
"1088",2011,"Unknown","High St Harborne Birmingham"
"1089",2011,"Unknown","High St,  ~Digbeth"
"1090",2011,"Unknown","High St,  Digbeth"
"1091",2011,"Unknown","High St, Digbeth"
"1092",2011,"Unknown","High Street, City Centre."
"1093",2011,"Unknown","High Street,City Centre"
"1094",2011,"Unknown","Hilden Road"
"1095",2011,"Unknown","Hill St, Birmingham"
"1096",2011,"Unknown","Hill Street"
"1097",2011,"Unknown","Hill Street, Birmingham"
"1098",2011,"Unknown","Hill Street, City Centre"
"1101",2011,"Unknown","Hill Street, City Centre."
"1102",2011,"Unknown","Hockley Circus"
"1103",2011,"Unknown","Holiday Inn, Lionel St."
"1104",2011,"Unknown","Holiday Inn, Smallbrook Queensway,"
"1105",2011,"Unknown","Holiday Street"
"1106",2011,"Unknown","Holly Road"
"1107",2011,"Unknown","Holte Street, Gosta Green"
"1109",2011,"Unknown","Horsefair"
"1110",2011,"Unknown","Horsefair Bristol St"
"1111",2011,"Unknown","Humer Tower,Francis Street"
"1112",2011,"Unknown","Hurst"
"1113",2011,"Unknown","Hurst St"
"1114",2011,"Unknown","Hurst St City Centre Birmingham"
"1115",2011,"Unknown","Hurst St,  Bham"
"1116",2011,"Unknown","Hurst St, Birminhgam"
"1145",2011,"Unknown","Hurst Street, City Center"
"1146",2011,"Unknown","Hurst Street, City Centre,"
"1147",2011,"Unknown","Hurst Street,City Centre"
"1149",2011,"Unknown","Ibis Hotel"
"1150",2011,"Unknown","Icc"
"1151",2011,"Unknown","Icc ,Broad Street"
"1152",2011,"Unknown","In Arcadian Centre Bham"
"1153",2011,"Unknown","Inge Street"
"1154",2011,"Unknown","Inge Street @ Hurst Street"
"1155",2011,"Unknown","Islington Row, City Centre"
"1156",2011,"Unknown","Islington Row, Middleway"
"1157",2011,"Unknown","James Watt Queensway, Birmingham"
"1158",2011,"Unknown","Kent Street"
"1159",2011,"Unknown","Kingstanding Road"
"1161",2011,"Unknown","Lady Well Walk, City Centre."
"1171",2011,"Unknown","Lattimer Place Winson Green"
"1172",2011,"Unknown","Lee Longlands,  Broad Street, Birmingham"
"1173",2011,"Unknown","Linwood Rd H'worth"
"1174",2011,"Unknown","Lloyds Bar Broad Street"
"1175",2011,"Unknown","Lloyds Bar, Broad Street"
"1176",2011,"Unknown","Lodge Rd Winson Green"
"1177",2011,"Unknown","Loft Lounge"
"1178",2011,"Unknown","Long Acre  Nechells"
"1179",2011,"Unknown","Lower Bull Street"
"1181",2011,"Unknown","Lower Parade, Sutton"
"1183",2011,"Unknown","Macdonalds, Bordesley Green East"
"1184",2011,"Unknown","Macdonalds, Ramp, City Centre, Birmingham"
"1185",2011,"Unknown","Mailbox, Birmingham"
"1186",2011,"Unknown","Mcdonald Street, Birmingham"
"1187",2011,"Unknown","Millward Close, Small Heath"
"1188",2011,"Unknown","Mono Bar, Arcadian Centre"
"1189",2011,"Unknown","Mono Bar,Ladywell Walk, City Centre"
"1190",2011,"Unknown","Moor St"
"1191",2011,"Unknown","Moor Street"
"1192",2011,"Unknown","Moor Street Entance To Bull Ring"
"1193",2011,"Unknown","Moore Street, Birmingham"
"1194",2011,"Unknown","Moore Street, City Centre, Birmingham"
"1195",2011,"Unknown","Moseley Park,Alcester Street"
"1196",2011,"Unknown","Navigation St, Birmingham"
"1197",2011,"Unknown","Navigation Street"
"1198",2011,"Unknown","Near To Hair & Beauty, Soho Road"
"1199",2011,"Unknown","New Meeting Street,City Centre"
"1200",2011,"Unknown","New St"
"1201",2011,"Unknown","New St B'ham City Centre"
"1202",2011,"Unknown","New St City Centre"
"1203",2011,"Unknown","New St Railway Station"
"1206",2011,"Unknown","New St, Birmingham"
"1215",2011,"Unknown","New Street @ Stephenson Street"
"1216",2011,"Unknown","New Street City Centre, Birmingham"
"1217",2011,"Unknown","New Street Railwaty"
"1222",2011,"Unknown","New Street Station, Birmingham"
"1223",2011,"Unknown","New Street Station, Station Approach"
"1224",2011,"Unknown","New Street, Birmingham"
"1227",2011,"Unknown","New Street, City Centre"
"1230",2011,"Unknown","New Street, City Centre."
"1231",2011,"Unknown","Newtown Housing Centre"
"1232",2011,"Unknown","Newtown Row"
"1233",2011,"Unknown","Next Clearance Store, Corporation Street."
"1234",2011,"Unknown","Nineva Road Ayt Soho Rd"
"1235",2011,"Unknown","Not Known"
"1236",2011,"Unknown","O/S Bham Crown Court"
"1237",2011,"Unknown","O/S Flairs Broad Street"
"1238",2011,"Unknown","O/S Flares Club, Broad St, Birmingham"
"1239",2011,"Unknown","O/S Gatecrasher Broad Street"
"1240",2011,"Unknown","O/S Mcdonalds, Ramp, City Centre"
"1241",2011,"Unknown","O/S New Street Station"
"1242",2011,"Unknown","O/S Oceania, Ladywell Walk, Birmingham"
"1243",2011,"Unknown","O/S Reflex Broad Street, City Centre"
"1244",2011,"Unknown","O/S The Crown Ph Station Road"
"1245",2011,"Unknown","O/S Walkabout Broad Street"
"1246",2011,"Unknown","O2 Academy"
"1247",2011,"Unknown","O2 Academy, Horsefair."
"1248",2011,"Unknown","Oh Bar, Broad Street, Birmingham"
"1249",2011,"Unknown","O'neils, Broad Street, Birmingham"
"1250",2011,"Unknown","Os Birmingham Magistrates Court"
"1251",2011,"Unknown","Os Dubliner Ph"
"1252",2011,"Unknown","Outside Bliss  Broad Street"
"1253",2011,"Unknown","Outside Bliss Nightclub."
"1255",2011,"Unknown","Outside Bliss,Broad Street"
"1256",2011,"Unknown","Outside O Velvet, Broad St."
"1257",2011,"Unknown","Outside Oceana Club"
"1258",2011,"Unknown","Outside Reflex Nightclub"
"1259",2011,"Unknown","Outside Revolution Bridge St Walsal"
"1260",2011,"Unknown","Outside Rocket Club Broad St"
"1261",2011,"Unknown","Outside Walkabout,Broad Street"
"1262",2011,"Unknown","O'velvet, Nightclub, Broad St, Birmingham"
"1263",2011,"Unknown","Oxhill Road"
"1264",2011,"Unknown","Pagoda Island"
"1265",2011,"Unknown","Paradise Forum"
"1266",2011,"Unknown","Paradise Forum City Centre Birmingham"
"1267",2011,"Unknown","Paradise Forum, Victoria Square, Birmingham"
"1268",2011,"Unknown","Pershore St Car Park"
"1269",2011,"Unknown","Pershore Street Road, City Centre"
"1270",2011,"Unknown","Pershore Street, City Centre."
"1271",2011,"Unknown","Pizza Hut, New St, Birmingham"
"1272",2011,"Unknown","Quigley Avenue"
"1273",2011,"Unknown","Rag Market, City Centre"
"1274",2011,"Unknown","Reflex On Broad Street, Birmingham"
"1275",2011,"Unknown","Regency Wharf"
"1276",2011,"Unknown","Risa Bar, Birmingham"
"1277",2011,"Unknown","Risa,Broad Street"
"1278",2011,"Unknown","Rookery Road, Handsworth"
"1279",2011,"Unknown","Rottersley Street, Birmingham"
"1280",2011,"Unknown","Rotunda Island, City Centre"
"1281",2011,"Unknown","Sainsburys Colmore Row"
"1282",2011,"Unknown","Sandringham Road"
"1283",2011,"Unknown","Sandwell Hospital"
"1284",2011,"Unknown","Sence In The Arcadian"
"1285",2011,"Unknown","Sense Nightclub, Arcadia, Birmingham"
"1286",2011,"Unknown","Shadwell Street"
"1287",2011,"Unknown","Shakespeare Bar, New Street Station."
"1288",2011,"Unknown","Shakespeare Ph, New St Station"
"1289",2011,"Unknown","Sheepcote Street, Birmingham"
"1290",2011,"Unknown","Sioho Road, Handsworth"
"1291",2011,"Unknown","Slade Road, Erdington"
"1292",2011,"Unknown","Small Brook Queensway"
"1293",2011,"Unknown","Smallbrook Queensway"
"1296",2011,"Unknown","Smallbrook Queensway City Centre Birmingham"
"1297",2011,"Unknown","Smallbrook Queensway,City Centre"
"1298",2011,"Unknown","Smethwick End"
"1299",2011,"Unknown","Soho Hill"
"1300",2011,"Unknown","Soho Hill, Handsworth, Birmingham"
"1301",2011,"Unknown","Soho Road"
"1305",2011,"Unknown","Sommerfield Park, Winson Green"
"1306",2011,"Unknown","Square Peg Ph"
"1307",2011,"Unknown","Square Peg,Corporation Street"
"1308",2011,"Unknown","Star City, Aston."
"1309",2011,"Unknown","Star City, Birmingham"
"1310",2011,"Unknown","Star City, Nechells"
"1311",2011,"Unknown","Station Road, City Centre"
"1312",2011,"Unknown","Steelhouse Lane"
"1320",2011,"Unknown","Steelhouse Lane Police Station"
"1321",2011,"Unknown","Steelhouse Lane, Birmingham"
"1322",2011,"Unknown","Steelhouse Lane, City Centre, Birmingham"
"1323",2011,"Unknown","Stephenson St"
"1324",2011,"Unknown","Stephenson Street"
"1325",2011,"Unknown","Stephenson Street, Birmingham City"
"1326",2011,"Unknown","Stephenson Street, City Centre"
"1327",2011,"Unknown","Stephensons Street"
"1328",2011,"Unknown","Suffolk St Queensway"
"1329",2011,"Unknown","Sugar Suite, Broad Street"
"1330",2011,"Unknown","Summer Lane"
"1331",2011,"Unknown","Summer Row"
"1332",2011,"Unknown","Temple Row"
"1334",2011,"Unknown","Tennant St"
"1335",2011,"Unknown","Terrace Road, Handsworth"
"1336",2011,"Unknown","Tesco Aston Lane"
"1337",2011,"Unknown","Tesco Springhill"
"1340",2011,"Unknown","The Ramp, Corporation St, Birmingham"
"1341",2011,"Unknown","The Ramp."
"1342",2011,"Unknown","Thornhill Road, Birmingham"
"1343",2011,"Unknown","Thornhill Road, Handsworth"
"1344",2011,"Unknown","Thorpe St At Hurst St"
"1345",2011,"Unknown","Thorpe Street"
"1346",2011,"Unknown","Trocadero Public House O/S"
"1347",2011,"Unknown","Turners Pallets, Hayhole Road"
"1348",2011,"Unknown","Upper Dean Street"
"1349",2011,"Unknown","Upper Dean Street, Birmingham"
"1350",2011,"Unknown","Upper Dean Street, Birmingham City Centre"
"1351",2011,"Unknown","Upper Dean Street, City Centre"
"1352",2011,"Unknown","Upper Parade Sutton Coldfield"
"1354",2011,"Unknown","Victoria Square,  Bham"
"1355",2011,"Unknown","Victoria Square, City Centre."
"1356",2011,"Unknown","Waiverley Park,Handsworth"
"1357",2011,"Unknown","Walkabout Bar Broad St"
"1358",2011,"Unknown","Walkabout Ph, Broad St, Birmingham"
"1359",2011,"Unknown","Walkabout Ph, Broad Street, Birmingham"
"1360",2011,"Unknown","Walkabout, Broad Street"
"1361",2011,"Unknown","Walsall Road,  Great Barr"
"1362",2011,"Unknown","Walsall Road, Perry Barr"
"1363",2011,"Unknown","Warf Road Kings Norton"
"1364",2011,"Unknown","Warwards Lane"
"1365",2011,"Unknown","Washington Drive, Handsworth Wood"
"1366",2011,"Unknown","Washington Street"
"1367",2011,"Unknown","Waterloo Road, Smethwick"
"1368",2011,"Unknown","Waverhill Park, Handsworth"
"1369",2011,"Unknown","Waverhill Road, Handsworth"
"1370",2011,"Unknown","Way Entrance Villa Ground"
"1371",2011,"Unknown","Wellington Road"
"1372",2011,"Unknown","Witton Arms"
"1373",2011,"Unknown","Witton Road"
"1375",2011,"Unknown","Witton Road Aston"
"1376",2011,"Unknown","Wrottesley Street"
"1377",2011,"Coventry","Primrose Hill Coventry"
"1378",2011,"Unknown","Albany Road"
"1379",2011,"Unknown","Aldbourne Road"
"1380",2011,"Unknown","Aldermans Green Road"
"1381",2011,"Unknown","Allesley Old Road"
"1382",2011,"Unknown","Almond Tree Avenue"
"1383",2011,"Unknown","Arbury Ave Coventry"
"1384",2011,"Unknown","Arena Carpark A444"
"1385",2011,"Unknown","Argyle St Coventry"
"1386",2011,"Unknown","Armstrong Avenue Stoke"
"1387",2011,"Unknown","Ashorne Close"
"1388",2011,"Unknown","Attoxhall Rd"
"1389",2011,"Unknown","Averley Road , Daimler Green"
"1390",2011,"Unknown","Awson Street"
"1391",2011,"Unknown","Bandals Surgery, Foleshill Road"
"1392",2011,"Unknown","Bell Green Rd Junction A444"
"1393",2011,"Unknown","Bell Green Road, Coventry"
"1395",2011,"Unknown","Binley Road"
"1399",2011,"Unknown","Bishop Street"
"1400",2011,"Unknown","Blackhorse Lane"
"1401",2011,"Unknown","Blythe Road"
"1402",2011,"Unknown","Bp Garage Ansty Road"
"1403",2011,"Unknown","Bramble St Coventry"
"1404",2011,"Unknown","Braod Park Road, Coventry"
"1405",2011,"Unknown","Bredon Ave, Coventry"
"1406",2011,"Unknown","Broadgate"
"1407",2011,"Unknown","Bull Yard"
"1408",2011,"Unknown","Bushberry Avenue"
"1409",2011,"Unknown","Butts Road Coventry"
"1410",2011,"Unknown","Cashs Lane"
"1411",2011,"Unknown","Cauldon Road"
"1412",2011,"Unknown","Charter Ave"
"1413",2011,"Unknown","Charter Ave Coventry"
"1414",2011,"Unknown","Chester Street"
"1415",2011,"Unknown","Chesterton Road"
"1416",2011,"Unknown","Cheveral Ave, Coventry"
"1417",2011,"Unknown","Cliffbridge Road"
"1418",2011,"Unknown","Clifton St ,Coventry."
"1419",2011,"Unknown","Coc Street"
"1420",2011,"Unknown","Communal Landing At George Poole House, Coventry"
"1421",2011,"Unknown","Compton Road"
"1422",2011,"Unknown","Concourse Near Mortimers"
"1423",2011,"Unknown","Cook St"
"1425",2011,"Unknown","Corporation St ,Coventry."
"1427",2011,"Unknown","Coundon Road"
"1428",2011,"Unknown","Coventry"
"1429",2011,"Unknown","Coventry Central Cells"
"1430",2011,"Unknown","Coventry Central Front Office"
"1431",2011,"Unknown","Coventry Central Pol Stn"
"1432",2011,"Unknown","Coventry Central Police Station"
"1434",2011,"Unknown","Coventry Central Ps"
"1436",2011,"Unknown","Coventry Railwat Station."
"1437",2011,"Unknown","Coventry Railway Station."
"1438",2011,"Unknown","Coventry Train Station"
"1439",2011,"Unknown","Cox Street"
"1440",2011,"Unknown","Cross Road"
"1441",2011,"Unknown","Devonshire Arms"
"1442",2011,"Unknown","Duckham Court"
"1443",2011,"Unknown","Earlsdon High Street"
"1444",2011,"Unknown","Elms Pub, Birmingham Road"
"1445",2011,"Unknown","Fairfax Street"
"1446",2011,"Unknown","Far Gosford Street"
"1448",2011,"Unknown","Farndale Ave"
"1450",2011,"Unknown","Foleshill Rd"
"1451",2011,"Unknown","Foleshill Road"
"1454",2011,"Unknown","Foleshill Road, Coventry"
"1455",2011,"Unknown","Four Pounds Ave, Coventry"
"1456",2011,"Unknown","Friars Road"
"1457",2011,"Unknown","Front Of Coventry Central Police Station"
"1458",2011,"Unknown","Front Office"
"1460",2011,"Unknown","Gala Bingo, Pool Meadow"
"1461",2011,"Unknown","Gosford Street"
"1464",2011,"Unknown","Greyfriars St Coventry"
"1465",2011,"Unknown","Gulson Road Coventry"
"1467",2011,"Unknown","Hale St"
"1468",2011,"Unknown","Hales Street, Coventry"
"1469",2011,"Unknown","Hartfrod Street"
"1470",2011,"Unknown","Hayle Street"
"1471",2011,"Unknown","Hayles Street"
"1472",2011,"Unknown","Hedgefield Way"
"1473",2011,"Unknown","Herald Way Coventry"
"1474",2011,"Unknown","High St Coventry"
"1478",2011,"Unknown","Hipswell Highway"
"1479",2011,"Unknown","Holmesdale Road"
"1480",2011,"Unknown","Hurst Road"
"1482",2011,"Unknown","Ikea Car Park"
"1483",2011,"Unknown","Ikea Plaza"
"1484",2011,"Unknown","Iron Monger Row"
"1485",2011,"Unknown","Jardine Crescent"
"1487",2011,"Unknown","Jasrdine Crescent"
"1488",2011,"Unknown","Jd Wetherspoon Earlsdon"
"1489",2011,"Unknown","Jordan Well"
"1490",2011,"Unknown","Jordan Well , Coventry"
"1491",2011,"Unknown","Jubilee Cresent"
"1492",2011,"Unknown","Kirby Road"
"1493",2011,"Unknown","Lady Lane"
"1494",2011,"Unknown","Lambeth Close"
"1495",2011,"Unknown","Leader Close"
"1496",2011,"Unknown","Lidice Place"
"1497",2011,"Unknown","Lincoln Street ,Coventry"
"1498",2011,"Unknown","Littl Park Street"
"1499",2011,"Unknown","Little Park St ,Coventry."
"1501",2011,"Unknown","Little Park St Coventry"
"1502",2011,"Unknown","Little Park Street"
"1511",2011,"Unknown","London Road"
"1514",2011,"Unknown","Lower Ford St"
"1515",2011,"Unknown","Lower Ford Street"
"1516",2011,"Unknown","Lower Holyhead D Jtn With Spon St"
"1517",2011,"Unknown","Lower Holyhead Rd Coventry"
"1518",2011,"Unknown","Lower Holyhead Road Coventry"
"1519",2011,"Unknown","Lower Precinct Coventry"
"1520",2011,"Unknown","Mafo"
"1521",2011,"Unknown","Manor House Drive"
"1522",2011,"Unknown","Market Way"
"1523",2011,"Unknown","Mary Slessor St"
"1524",2011,"Unknown","Masser Road"
"1525",2011,"Unknown","Mcdonalds Restaurant A45 ,Coventry."
"1526",2011,"Unknown","Memorial Park, Coventry"
"1527",2011,"Unknown","Middle Ride"
"1528",2011,"Unknown","Mile Lane"
"1530",2011,"Unknown","Millenium Place"
"1532",2011,"Unknown","Mint Casino, King William Street"
"1533",2011,"Unknown","Miranda Close"
"1534",2011,"Unknown","Morris Road"
"1535",2011,"Unknown","Motor Museum"
"1536",2011,"Unknown","New Union St"
"1537",2011,"Unknown","Norman Place Road"
"1538",2011,"Unknown","Northy Road"
"1539",2011,"Unknown","O/S Ccfo"
"1540",2011,"Unknown","O/S Coventry Central Police Station"
"1541",2011,"Unknown","O/S Gosford Arms"
"1542",2011,"Unknown","Oak Gosford Street"
"1543",2011,"Unknown","Outside Coventry Central Ps"
"1544",2011,"Unknown","Outside Foleshill Ps"
"1545",2011,"Unknown","Outside Front Of Coventry Central Police Station."
"1546",2011,"Unknown","Outside Heat Bar"
"1547",2011,"Unknown","Outside Kasbars"
"1548",2011,"Unknown","Outside Of The Jewson Stand, Richo Arena, Coventry"
"1549",2011,"Unknown","Owenford Road"
"1550",2011,"Unknown","Palm Tree Ave, Wood End"
"1551",2011,"Unknown","Palmer Lane , Coventry."
"1554",2011,"Unknown","Penruddick Drive, Coventry"
"1555",2011,"Unknown","Plymouth Close"
"1556",2011,"Unknown","Pool Meadow"
"1557",2011,"Unknown","Pool Meadow Bus Station"
"1558",2011,"Unknown","Pool Meadow Bus Stn"
"1559",2011,"Unknown","Poolmeadow"
"1560",2011,"Unknown","Poolmeadow Bus Station"
"1562",2011,"Unknown","Poppy Court, Remembrance Road, Willenhall, Coventry"
"1563",2011,"Unknown","Primrose Hill St"
"1564",2011,"Unknown","Primrose Hill Street"
"1566",2011,"Unknown","Primrose Hill Street ,Coventry."
"1567",2011,"Unknown","Princethorpe Way"
"1568",2011,"Unknown","Priory Fields, Coventry"
"1569",2011,"Unknown","Priory Gardens"
"1570",2011,"Unknown","Priory Street"
"1571",2011,"Unknown","Puma Way"
"1572",2011,"Unknown","Queen Mary's Road ,Foleshill ,Coventry."
"1573",2011,"Unknown","Queen Marys Road Coventry"
"1574",2011,"Unknown","Queen Victoria Road"
"1575",2011,"Unknown","Radford Road"
"1577",2011,"Unknown","Raglan Street"
"1578",2011,"Unknown","Red Lane"
"1579",2011,"Unknown","Remembrance Road"
"1580",2011,"Unknown","Richo Areana"
"1582",2011,"Unknown","Richo Arena, Coventry"
"1583",2011,"Unknown","Ricoh Arena"
"1586",2011,"Unknown","Ridgethorpe, Willenhall, Coventry"
"1587",2011,"Unknown","Rileys Square, Bell Green"
"1588",2011,"Unknown","Ring Rd"
"1589",2011,"Unknown","Riverwalk Walk Wood End"
"1590",2011,"Unknown","Roland Avenue ,Holbrooks ,Coventry."
"1591",2011,"Unknown","Rotherhanm Road"
"1592",2011,"Unknown","Sainsburys ,Trinity St ,Coventry."
"1593",2011,"Unknown","Scots Lane"
"1594",2011,"Unknown","Sewall Highway"
"1596",2011,"Unknown","Sewall Highway Coventry"
"1597",2011,"Unknown","Silver Street ,Coventry."
"1598",2011,"Unknown","Sky Blue Way"
"1599",2011,"Unknown","Sky Dome"
"1607",2011,"Unknown","Sky Dome Concourse"
"1612",2011,"Unknown","Sky Dome Concourse Covenmtry"
"1613",2011,"Unknown","Sky Dome Concourse Coventry"
"1614",2011,"Unknown","Sky Dome Concourse."
"1615",2011,"Unknown","Sky Dome, Coventry"
"1616",2011,"Unknown","Sky Dome, Coventry City Centre"
"1617",2011,"Unknown","Sky Dome."
"1620",2011,"Unknown","Skydome"
"1626",2011,"Unknown","Skydome , Coventry."
"1627",2011,"Unknown","Skydome Car Park"
"1629",2011,"Unknown","Skydome Complex"
"1632",2011,"Unknown","Skydome Complex, Coventry"
"1633",2011,"Unknown","Skydome Concourse"
"1648",2011,"Unknown","Skydome Concourse ,Coventry"
"1649",2011,"Unknown","Skydome Concourse..."
"1650",2011,"Unknown","Skydome Coventry"
"1652",2011,"Unknown","Skydome Coventry City Centre"
"1653",2011,"Unknown","Skydome, Coventry"
"1655",2011,"Unknown","Sorell Close"
"1656",2011,"Unknown","Southbank Road ,Coventry."
"1657",2011,"Unknown","Spom St Coventry"
"1658",2011,"Unknown","Spon End"
"1659",2011,"Unknown","Spon End, Coventry"
"1660",2011,"Unknown","Spon St ,Coventry"
"1661",2011,"Unknown","Spon St ,Coventry."
"1662",2011,"Unknown","Spon St Coventry"
"1669",2011,"Unknown","Spon Street"
"1675",2011,"Unknown","St Georges Road"
"1676",2011,"Unknown","St Georges Road, Stoke"
"1677",2011,"Unknown","St Lukes Road Coventry"
"1678",2011,"Unknown","Stonet Stanton Road Police Station"
"1679",2011,"Unknown","Stoney Stanton Road Police Station, Coventry"
"1680",2011,"Unknown","Swanswell Park"
"1681",2011,"Unknown","Tachbrook Close"
"1682",2011,"Unknown","Tarquin Close, Coventry"
"1683",2011,"Unknown","Terry Road"
"1684",2011,"Unknown","Terry Road, Coventry"
"1685",2011,"Unknown","The Bull Yard City Centre"
"1686",2011,"Unknown","The Bullyard"
"1687",2011,"Unknown","The Burges"
"1688",2011,"Unknown","The Burgess"
"1691",2011,"Unknown","The Butts Coventry"
"1692",2011,"Unknown","The Butts Retreat Ph"
"1693",2011,"Unknown","The Croft Longford"
"1694",2011,"Unknown","The Forum Medical Centre, Coventry"
"1695",2011,"Unknown","Thimbler Road"
"1696",2011,"Unknown","Tile Hill Lane Coventry"
"1697",2011,"Unknown","Torrington Avenue"
"1698",2011,"Unknown","Trinity Point Link"
"1699",2011,"Unknown","Trinity Street"
"1702",2011,"Unknown","Trinity Street City Centre Coventry"
"1703",2011,"Unknown","University Hospital"
"1705",2011,"Unknown","University Hospital Coventry"
"1706",2011,"Unknown","Unniversity Of Warwick, Coventry"
"1707",2011,"Unknown","Upper Spon St"
"1708",2011,"Unknown","Vine Street"
"1710",2011,"Unknown","Vinecote Road"
