"","Year","Area","Street.2"
"164",2011,"Unknown","Reddings Lane, Tsyley"
"165",2011,"Unknown","Richmond Primary Care Centre, Richmond Road, Stechford"
"166",2011,"Unknown","Ring Road, Stourbridge"
"167",2011,"Unknown","Sainsburys, Wawrick Road"
"168",2011,"Unknown","Sainsburys. Alcester Road South"
"169",2011,"Unknown","Sandford Road Moseley"
"170",2011,"Unknown","Sarehole Mill"
"171",2011,"Unknown","Sedgemere Road"
"172",2011,"Unknown","Shirley Road"
"174",2011,"Unknown","Snow Hill"
"175",2011,"Unknown","Solihull Lane"
"176",2011,"Unknown","St Mary's Road, Moseley"
"177",2011,"Unknown","St Marys Row"
"178",2011,"Unknown","Station Road"
"179",2011,"Unknown","Station Way, Birmingham International Rail Station"
"180",2011,"Unknown","Stechford Front Office"
"181",2011,"Unknown","Stechford P.s."
"182",2011,"Unknown","Stechford Retail Park."
"183",2011,"Unknown","Stonehenge Croft Druids Heath"
"184",2011,"Unknown","Stoney Lane"
"187",2011,"Unknown","Stratford Heath, Spark Hill, Birmingham"
"188",2011,"Unknown","Stratford Road"
"191",2011,"Unknown","Stratford Road, Hall Green"
"192",2011,"Unknown","Stratford Roads"
"193",2011,"Unknown","Stuart Road, Stechford"
"194",2011,"Unknown","Talbort Street"
"195",2011,"Unknown","Taunton Road"
"196",2011,"Unknown","Tavistock Road"
"197",2011,"Unknown","The Avenue"
"198",2011,"Unknown","The Paer Tree Pub"
"199",2011,"Unknown","Trafalger Road"
"200",2011,"Unknown","Wake Green Road"
"201",2011,"Unknown","Ward End Road"
"202",2011,"Unknown","Warwick Road"
"207",2011,"Unknown","Warwick Road Tysley"
"208",2011,"Unknown","Wash Lane"
"209",2011,"Unknown","Washford Heath Road"
"210",2011,"Unknown","Washwood Heath Pub"
"211",2011,"Unknown","Washwood Heath Rd, Washwood Heath, Bham"
"212",2011,"Unknown","Washwood Heath Road"
"216",2011,"Unknown","Watery Lane Middleway, Birmingham"
"217",2011,"Unknown","Wawrick Road"
"218",2011,"Unknown","Welshfarm Road, Quinton"
"219",2011,"Unknown","Westley Road"
"220",2011,"Unknown","Westley Road, Acocks Green"
"221",2011,"Unknown","White Hart Public House"
"223",2011,"Unknown","Whiteheart Pub, Gressell Lane"
"224",2011,"Unknown","William Hill Bookmakers, Washwood Heath Road"
"226",2011,"Unknown","William Hill Washwood Heath Road"
"227",2011,"Unknown","Windward Road"
"229",2011,"Unknown","Wood End Road, Erdington"
"230",2011,"Unknown","Woodbridge Road, Moseley"
"231",2011,"Unknown","Wright Street"
"232",2011,"Unknown","Yardley Green Road"
"233",2011,"Unknown","Yardley Road Acocks Green"
"234",2011,"Unknown","Yardley Wood Road"
"236",2011,"Unknown","Yew Tree Car Park"
"237",2011,"Unknown","Yew Tree Lane"
"238",2011,"Unknown","Yew Tree Public House Car Park."
"239",2011,"Unknown","Armada Pub, Slade Road, Erdington, Birmingham"
"240",2011,"Unknown","Armarda Pub,  Gravelly Hill"
"241",2011,"Unknown","Armarda Pub, Gravelly Hill"
"242",2011,"Unknown","Badgers Bank Road"
"243",2011,"Unknown","Baldmoor Lake Road, Erdington, Birmingham."
"244",2011,"Unknown","Bandywood Rd, Kingstanding"
"245",2011,"Unknown","Beckenham Road"
"246",2011,"Unknown","Beeches Walk"
"247",2011,"Unknown","Birmingham Rd"
"249",2011,"Unknown","Birmingham Rd, Sc"
"250",2011,"Unknown","Birmingham Road"
"252",2011,"Unknown","Birmingham Road Sutton"
"253",2011,"Unknown","Birmingham Road, Erdington"
"254",2011,"Unknown","Birmingham Road, Sutton Coldfield"
"256",2011,"Unknown","Bowling Green Close"
"257",2011,"Unknown","Bracebridge Road, Erdington"
"258",2011,"Unknown","Brassington Avenue"
"259",2011,"Unknown","Bromford Lane"
"260",2011,"Unknown","Bromford Lane, Erdington, B'ham"
"261",2011,"Unknown","Brookvale Park Road"
"262",2011,"Unknown","Carhampton Road, Falcon Lodge, Sutton Colfield"
"263",2011,"Unknown","Carshalton Road"
"264",2011,"Unknown","Carshorlton Road"
"265",2011,"Unknown","Chester Rd"
"266",2011,"Unknown","Chester Road"
"267",2011,"Unknown","Chester Road, Halls Garden Centre"
"268",2011,"Unknown","Church Rd At Chester Rd"
"269",2011,"Unknown","College Road, Kingstanding, B'ham"
"271",2011,"Unknown","Copshill Court, Mount View, Sutton Coldfield"
"272",2011,"Unknown","Dovedale Road, Erdington, B'ham"
"273",2011,"Unknown","Downside Road, Erdington, B'ham"
"274",2011,"Unknown","Eachelhurt Road, Erdington"
"275",2011,"Unknown","Erdington Hall Road"
"277",2011,"Unknown","Erdington High Street"
"278",2011,"Unknown","Fentham Road, Erdington, B'ham"
"279",2011,"Unknown","Finchley Road"
"280",2011,"Unknown","Finchley Road, Kingstanding, B'ham"
"281",2011,"Unknown","George Frederick Road"
"282",2011,"Unknown","Golden Pond Take Away  Boldmere Road"
"283",2011,"Unknown","Good Hope Hospital"
"284",2011,"Unknown","Gracechurch Centre"
"285",2011,"Unknown","Gracechurch Centre, Outside Supercigs"
"286",2011,"Unknown","Gracechurch Shopping Centre, Sutton Coldfield"
"287",2011,"Unknown","Grassed Area , Pype Hayes Park...."
"288",2011,"Unknown","Gravelley Lane"
"291",2011,"Unknown","Gravelly Lane, Erdington, Birmingham"
"292",2011,"Unknown","Hairy Lemon Pub .Sutton Coldfield"
"294",2011,"Unknown","Hermatige Road"
"296",2011,"Unknown","Hermitage Drive"
"297",2011,"Unknown","High Street"
"298",2011,"Unknown","High Street Erdington"
"299",2011,"Unknown","High Street, Erdington"
"301",2011,"Unknown","High Street, S/C"
"303",2011,"Unknown","Hight St Erdington"
"304",2011,"Unknown","Hunton Hill"
"305",2011,"Unknown","Kfc Retail Outlet , Erdington High Street"
"306",2011,"Unknown","Kingsbury Road, Erdington, B'ham"
"307",2011,"Unknown","Kingstanding Circle"
"308",2011,"Unknown","Ladywell Walk, Birmingham"
"309",2011,"Unknown","Landsdown Road"
"310",2011,"Unknown","Lichfield Road, Mere Green"
"311",2011,"Unknown","Lichfield Road, Sutton Coldfield"
"312",2011,"Unknown","Lindridge Road, Sutton Coldfield"
"313",2011,"Unknown","Little Aston Lane"
"314",2011,"Unknown","Longford Road"
"315",2011,"Unknown","Longford Road, Kingstanding, B'ham"
"316",2011,"Unknown","Lower Parade"
"335",2011,"Unknown","Lower Parade Sc"
"336",2011,"Unknown","Lower Parade Sutton"
"337",2011,"Unknown","Lower Parade Sutton Coldfield"
"338",2011,"Unknown","Lower Parade,"
"339",2011,"Unknown","Lower Parade, Suton Coldfield"
"340",2011,"Unknown","Lower Parade, Sutton Coldfield"
"355",2011,"Unknown","Lower Parade, Sutton Coldfield Town Centre"
"357",2011,"Unknown","Lower Parade, Sutton Coldfield."
"358",2011,"Unknown","Lydham Close"
"359",2011,"Unknown","Mill Street"
"360",2011,"Unknown","Mill Street, Sutton Coldfield"
"361",2011,"Unknown","Moor Hall Hotel"
"362",2011,"Unknown","Mulberry Court Carpark, Kings Road, Kingstanding, Birmingham"
"363",2011,"Unknown","Newhall Walk Car Park"
"365",2011,"Unknown","O/S H/A"
"366",2011,"Unknown","O/S Litten Tree"
"367",2011,"Unknown","O/S Litten Tree, S/C Town Centre"
"368",2011,"Unknown","O/S Moomoo Bar, S/C Town Centre"
"369",2011,"Unknown","O/S Moomoo Bar, South Parade"
"370",2011,"Unknown","O/S Retro"
"371",2011,"Unknown","O/S Retro , South Parade"
"372",2011,"Unknown","O/S Retros"
"373",2011,"Unknown","O/S Royal Hotel, Lichfield Road"
"374",2011,"Unknown","O/S Temple Bar"
"376",2011,"Unknown","O/S Temple Bar, High Street"
"377",2011,"Unknown","O/S Temple Bar, Lower Parade Sutton Coldfield."
"378",2011,"Unknown","O/S Temple Bar, S/C Town Centre"
"379",2011,"Unknown","O/S Temple Bar, Sutton Coldfield, West Milands"
"380",2011,"Unknown","O/S The Hairy Lemon"
"381",2011,"Unknown","On Pavement Outside The Royal Hotel"
"382",2011,"Unknown","Ourtside Royal Pub, Lichfield Road, Sutton Coldfield"
"383",2011,"Unknown","Outside Glendale Tower, Lyndhurst Estate"
"384",2011,"Unknown","Outside Litten Tree Pub, Birmingham Road, Sutton Coldfield`"
"385",2011,"Unknown","Outside Moo Moo Club, Town Centre, Sutton Coldfield"
"386",2011,"Unknown","Outside Moo Moo Night Club, South Parade"
"387",2011,"Unknown","Outside Temple Parade, Lower Parade"
"388",2011,"Unknown","Outside The Temple Bar, Lower Parade, Sc"
"389",2011,"Unknown","Parade . Sutton Coldfield"
"390",2011,"Unknown","Parade Sc"
"391",2011,"Unknown","Parade Sutton Coldfield"
"394",2011,"Unknown","Parade Sutton Town"
"395",2011,"Unknown","Parade, Sutton Coldfield"
"397",2011,"Unknown","Parade, Sutton Town Centre"
"398",2011,"Unknown","Parkeston Crescent, Kinsgatnding, B'ham"
"399",2011,"Unknown","Plants Grove Erdington"
"400",2011,"Unknown","Pype Hayes Road, Pype Hayes, B'ham"
"403",2011,"Unknown","Queen Street"
"407",2011,"Unknown","Queen Street Sutton Coldfield Town Centre"
"408",2011,"Unknown","Queslett Road East"
"409",2011,"Unknown","Redacre Rd Boldmere"
"410",2011,"Unknown","Reservoir Road"
"411",2011,"Unknown","Ridgeway"
"412",2011,"Unknown","Slade Road, Erdington, B'ham"
"414",2011,"Unknown","Soth Parade, Sutton Coldfield"
"416",2011,"Unknown","South Parade"
"428",2011,"Unknown","South Parade  Town Centre, Sutton Coldfield"
"429",2011,"Unknown","South Parade Sutton Coldfield"
"431",2011,"Unknown","South Parade Sutton Town Centre"
"432",2011,"Unknown","South Parade, Sutton Coldfield"
"443",2011,"Unknown","South Parade, Sutton Town Centre"
"444",2011,"Unknown","South Parade, Town Centre, Sutton Coldfield"
"445",2011,"Unknown","Stornaway Road Castle Vale"
"446",2011,"Unknown","Streetley Road Erdington"
"447",2011,"Unknown","Sumburgh Croft"
"448",2011,"Unknown","Sutton Coldfield Town Centre"
"450",2011,"Unknown","Sutton New Road"
"451",2011,"Unknown","Sutton New Road Erdington"
"454",2011,"Unknown","Sutton New Road, Erdington, B'ham"
"455",2011,"Unknown","Sutton Parade"
"458",2011,"Unknown","Sutton Town Centre"
"463",2011,"Unknown","Tedbury Crescent"
"464",2011,"Unknown","Tesco's Express, Walsall Road, Four Oaks, Sutton Coldfield"
"465",2011,"Unknown","The Parade"
"468",2011,"Unknown","The Parade Sutton"
"469",2011,"Unknown","The Parade Sutton Coldfield"
"470",2011,"Unknown","The Parade, Birmingham Road, Sutton Coldfield"
"471",2011,"Unknown","The Parade, Sutton Coldfield"
"477",2011,"Unknown","The Parade, Sutton Town Centre"
"478",2011,"Unknown","The Parade...."
"479",2011,"Unknown","The Ridgeway"
"482",2011,"Unknown","The Swan Ph"
"483",2011,"Unknown","Turnhouse Road"
"484",2011,"Unknown","Upper Holland Road"
"485",2011,"Unknown","Victoria Rd"
"488",2011,"Unknown","Walsh Drive, Walmley, Sutton Coldfield"
"489",2011,"Unknown","Warren Farm Rd"
"490",2011,"Unknown","Warren Farm Road"
"491",2011,"Unknown","Whitehouse Common Rd"
"492",2011,"Unknown","Wilton Rd"
"493",2011,"Unknown","Windsor House, Jarvis Road, Erdington"
"494",2011,"Unknown","Witton Lodge Road"
"495",2011,"Unknown","Witton Lodge Road, Erdington"
"496",2011,"Unknown","York Road"
"497",2011,"Unknown","Abdon Ave"
"498",2011,"Unknown","Alcester Road South"
"499",2011,"Unknown","Alvechurch Rd"
"500",2011,"Unknown","Arden Road"
"501",2011,"Unknown","Ardencote Froad"
"502",2011,"Unknown","Ashley Close"
"503",2011,"Unknown","Balti Spice Bristol Rd South"
"504",2011,"Unknown","Barnes Hill"
"505",2011,"Unknown","Barrow House"
"507",2011,"Unknown","Birmingham New Street"
"510",2011,"Unknown","Birmingham Street, Oldbury"
"511",2011,"Unknown","Blandford Road"
"512",2011,"Unknown","Bournbrook Road"
"513",2011,"Unknown","Bournville Front Office"
"515",2011,"Unknown","Bournville Lane"
"517",2011,"Unknown","Bournville Lane Front Office"
"518",2011,"Unknown","Bowling Green Road"
"519",2011,"Unknown","Bristol Rd"
"523",2011,"Unknown","Bristol Rd Selly Oak"
"524",2011,"Unknown","Bristol Rd South"
"526",2011,"Unknown","Bristol Rd Sth"
"527",2011,"Unknown","Bristol Rd, Northfield"
"528",2011,"Unknown","Bristol Rd, Selly Oak"
"543",2011,"Unknown","Bristol Road Northfield"
"544",2011,"Unknown","Bristol Road Selly Oak"
"547",2011,"Unknown","Bristol Road South, Northfield"
"548",2011,"Unknown","Bristol Road South, Selly Oak"
"549",2011,"Unknown","Bristol Road, Selly Oak"
"555",2011,"Unknown","Broad Street, City Centre"
"557",2011,"Unknown","Brook Lane"
"558",2011,"Unknown","Bunburry Road"
"560",2011,"Unknown","Burnhill Grove ,Weoley Castle ,Birmingham."
"561",2011,"Unknown","Car Park Of Bournville Lane P/Stn"
"562",2011,"Unknown","Chinbrook Road, Billsley"
"563",2011,"Unknown","Church Hill Nortthfield"
"564",2011,"Unknown","Church Road"
"565",2011,"Unknown","Compton Road, Cradley Heath"
"566",2011,"Unknown","Costcutters, Ardern Road"
"567",2011,"Unknown","Dawberry Road"
"568",2011,"Unknown","Dawlish Road"
"569",2011,"Unknown","Dingle Club"
"570",2011,"Unknown","Doddington Road"
"571",2011,"Unknown","Dog Kennel Lane"
"572",2011,"Unknown","Dog Pool Lane"
"573",2011,"Unknown","Downfield Drive"
"574",2011,"Unknown","Dudley Bus Station"
"575",2011,"Unknown","Dwellings Lane"
"576",2011,"Unknown","Eafo"
"577",2011,"Unknown","Edgbaston Cricket Ground"
"578",2011,"Unknown","Edgbaston Park Road"
"579",2011,"Unknown","Exeter Rd / Hubert Rd"
"580",2011,"Unknown","Fordhouse Lane"
"581",2011,"Unknown","Four Acres ,Quinton."
"582",2011,"Unknown","Frogmill Road, Frankley"
"583",2011,"Unknown","Genners Lane"
"584",2011,"Unknown","Glastonbury Road"
"585",2011,"Unknown","Great Park Rubery"
"586",2011,"Unknown","Griffins Brook Lane"
"587",2011,"Unknown","Grosvenor Shopping Centre"
"588",2011,"Unknown","Hagley Road"
"597",2011,"Unknown","Hagley Road, Edgbaston"
"598",2011,"Unknown","Hagley Road, Eedgbaston"
"599",2011,"Unknown","Harborne Cricket Club"
"600",2011,"Unknown","Harborne High St"
"601",2011,"Unknown","Harborne High Street"
"604",2011,"Unknown","Harborne Park Road"
"605",2011,"Unknown","Harborne Police Station"
"606",2011,"Unknown","Harbourne Cricket Club"
"607",2011,"Unknown","Hawkesley End"
"608",2011,"Unknown","Hawkesley Square"
"609",2011,"Unknown","Hazelwell Street"
"610",2011,"Unknown","Heathmill Lane Digbeth"
"611",2011,"Unknown","Herons Wood"
"612",2011,"Unknown","High St"
"613",2011,"Unknown","High St Harborne"
"615",2011,"Unknown","High St Northfield"
"616",2011,"Unknown","High Street Harborne"
"620",2011,"Unknown","High Street Harbourne"
"621",2011,"Unknown","High Street, Harborne"
"623",2011,"Unknown","Highfdield Lane"
"624",2011,"Unknown","Highfield Lane"
"625",2011,"Unknown","Highfield Lane, Quinton"
"626",2011,"Unknown","Hoggs Lane, Northfield"
"627",2011,"Unknown","Hollybank Road"
"628",2011,"Unknown","Holywood Bowl, Rubery"
"630",2011,"Unknown","Honnington Crescent, Northfield"
"631",2011,"Unknown","Jiggins Lane"
"632",2011,"Unknown","Jiggins Lane, Bartley Green"
"633",2011,"Unknown","Kembertone Road"
"634",2011,"Unknown","Kings Norton Green"
"635",2011,"Unknown","Leech Green Rd"
"636",2011,"Unknown","Leith Grove"
"638",2011,"Unknown","Long Fellow Road"
"641",2011,"Unknown","Longbridge Lane, West Heath"
"642",2011,"Unknown","Longham Croft"
"643",2011,"Unknown","Lottie Road"
"644",2011,"Unknown","Lutley Grove"
"645",2011,"Unknown","Malins Road, Harborne"
"646",2011,"Unknown","Manderville House"
"647",2011,"Unknown","Marjoram Close, Hawksley"
"650",2011,"Unknown","Maypole Lane"
"651",2011,"Unknown","Merritts Hill"
"652",2011,"Unknown","Metchley Lane"
"653",2011,"Unknown","Moat Road"
"654",2011,"Unknown","Mounbatten House, Wyndham Road"
"655",2011,"Unknown","New Street Br"
"656",2011,"Unknown","New Street Station"
"657",2011,"Unknown","Nortb Worcester Golf Club"
"658",2011,"Unknown","North Street, Harborne"
"661",2011,"Unknown","Northfield High Street."
"662",2011,"Unknown","Oakridge Road Northfield"
"663",2011,"Unknown","Oddingley Road"
"664",2011,"Unknown","Oddingley Road, West Heath"
"665",2011,"Unknown","Paradise Forum ,Birmingham."
"666",2011,"Unknown","Parsons Hill"
"667",2011,"Unknown","Pershore Road"
"678",2011,"Unknown","Pershore Road South, Kings Norton"
"679",2011,"Unknown","Poole Crescent, Harborne"
"680",2011,"Unknown","Poplar Avenue"
"681",2011,"Unknown","Portlands Road"
"682",2011,"Unknown","Princethorpe Road"
"683",2011,"Unknown","Qe Casualty"
"684",2011,"Unknown","Qe Hospital"
"686",2011,"Unknown","Quality Hotel"
"687",2011,"Unknown","Queen Elizabeth Hospital"
"688",2011,"Unknown","Raddlebarn Road"
"689",2011,"Unknown","Richmond Hill Road"
"690",2011,"Unknown","Richmond Road"
"691",2011,"Unknown","Rose Road"
"692",2011,"Unknown","Rose Road, Harborne"
"693",2011,"Unknown","Sainsburys, Frankley Beeches Rd, Northfield"
"694",2011,"Unknown","Selcroft Ave"
"695",2011,"Unknown","Shannon Rd, Kings Norton"
"696",2011,"Unknown","Shawbrook Grove"
"697",2011,"Unknown","Shell Forecourt Bristol Rd"
"698",2011,"Unknown","Sir Hiltons Road, West Heath"
"699",2011,"Unknown","Snax 24 Forcourt."
"700",2011,"Unknown","Solihull High Street"
"701",2011,"Unknown","Solihull High Street. Outside Rosies."
"702",2011,"Unknown","Stanley Road Quinton"
"703",2011,"Unknown","Stone Road, Edgbaston"
"704",2011,"Unknown","Stonehouse Lane"
"705",2011,"Unknown","Stratford Road ,Sparkbrook ,Birmingham."
"706",2011,"Unknown","The Fold"
"707",2011,"Unknown","The Fold, Kings Norton"
"708",2011,"Unknown","The Jester Ph"
"709",2011,"Unknown","The Parade Queensway, City  Centre."
"710",2011,"Unknown","The Royal Oak Public House, Pershore Road"
"711",2011,"Unknown","Three Horshoes Ph"
"712",2011,"Unknown","Three Shires Oak Road"
"713",2011,"Unknown","Three Shires Road"
"714",2011,"Unknown","Trescotte Road"
"715",2011,"Unknown","Turves Green"
"716",2011,"Unknown","Unknown"
"717",2011,"Unknown","Valbourne Road Kings Heath"
"718",2011,"Unknown","Vicarage Road, Kings Heath"
"719",2011,"Unknown","Vineyard Road, Northfield"
"720",2011,"Unknown","War Lane"
"721",2011,"Unknown","Watford Rd, Cotteridge"
"722",2011,"Unknown","Weolly Castle Road"
"723",2011,"Unknown","Westminster Road"
"724",2011,"Unknown","Wolverhampton Street"
"725",2011,"Unknown","Woodhouse Road, Quinton"
"726",2011,"Unknown","Woodmeadow Road"
"727",2011,"Unknown","Worlds End Lane"
"729",2011,"Unknown","Worlds End Lane,Quinton"
"731",2011,"Unknown","Acardian Centre"
"732",2011,"Unknown","Adderley Road"
"733",2011,"Unknown","Air Night Club"
"734",2011,"Unknown","Albert Road, Handsworth, Birmingham"
"735",2011,"Unknown","Arcadia Centre, Birmingham City Centre"
"736",2011,"Unknown","Arcadian"
"738",2011,"Unknown","Arcadian Birmingham City Centre"
"739",2011,"Unknown","Arcadian Center, Birmingham"
"754",2011,"Unknown","Arcadian Centre Bham"
"755",2011,"Unknown","Arcadian Centre, Birmingham"
"756",2011,"Unknown","Arcadian Centre, Birmingham City Centre"
"757",2011,"Unknown","Arcadian Centre, Ladywell Walk"
"759",2011,"Unknown","Arcadian Entertainment Centre, Birmingham"
"760",2011,"Unknown","Arcadian, City Centre."
"761",2011,"Unknown","Arcadian, Hurst Street"
"762",2011,"Unknown","Aston Hotel`"
"763",2011,"Unknown","Aston Police Station"
"764",2011,"Unknown","Aston Villa Football Ground"
"765",2011,"Unknown","Attenborough Close"
"766",2011,"Unknown","Away Fans Coach Park,  Bham Cfc"
"767",2011,"Unknown","Away Supporters Entrance Bcfc"
"768",2011,"Unknown","Bar Risa"
"769",2011,"Unknown","Bath Row, Birmingham"
"770",2011,"Unknown","Bath Street,City Centre"
"771",2011,"Unknown","Bcfc  Home Fans Car Aprke"
"772",2011,"Unknown","Bcfc Ground"
"773",2011,"Unknown","Bcfc Tilton Road Entrance"
"774",2011,"Unknown","Berkeley Street"
"776",2011,"Unknown","Berkley Street"
"777",2011,"Unknown","B'ham New Street Station"
"778",2011,"Unknown","Big Bite, Broad Street"
"779",2011,"Unknown","Bigwok Restaurant, Birmingham"
"780",2011,"Unknown","Birchfield Road,  Perry Barr"
"781",2011,"Unknown","Birchfield Road, Birmingham"
"782",2011,"Unknown","Birchfield Road, City Centre"
"783",2011,"Unknown","Birchfiled Road"
"784",2011,"Unknown","Birmingham City Fc  Coach Park"
"785",2011,"Unknown","Birmingham Magistrates Court."
"786",2011,"Unknown","Birmingham New St"
"787",2011,"Unknown","Birmingham New Street Station"
"788",2011,"Unknown","Birmingham New Street,"
"789",2011,"Unknown","Bishopgate Street @ Junction Of Broad Street."
"790",2011,"Unknown","Bishopgate Street, City Centre"
"791",2011,"Unknown","Bishopsgate Street"
"792",2011,"Unknown","Bliss Bar, Broad Street"
